Iteration,Time
1,401.450
2,401.720
3,401.443
4,401.350
5,401.363
6,401.318
7,401.308
8,401.484
9,401.834
10,401.332
11,401.544
12,401.478
13,401.740
14,400.827
15,401.186
16,401.619
17,401.850
18,402.021
19,401.758
20,401.857
21,401.819
22,401.875
23,401.415
24,402.013
25,401.660
26,401.791
27,401.451
28,401.527
29,401.502
30,402.109
31,401.298
32,401.179
33,401.563
34,401.373
35,401.374
36,401.103
37,401.395
38,401.224
39,401.294
40,401.515
41,400.945
42,401.023
43,401.083
44,401.301
45,401.163
46,401.526
47,401.182
48,401.620
49,401.408
50,401.310
51,401.400
52,401.684
53,401.634
54,401.575
55,401.427
56,401.374
57,401.489
58,401.661
59,401.254
60,401.047
61,401.285
62,401.368
63,401.083
64,401.459
65,401.250
66,401.112
67,401.670
68,401.417
69,401.315
70,401.468
71,401.326
72,401.508
73,401.466
74,401.354
75,401.404
76,400.876
77,400.929
78,400.952
79,400.866
80,401.263
81,401.556
82,400.928
83,401.499
84,401.406
85,401.744
86,401.086
87,401.519
88,401.650
89,401.133
90,401.288
91,401.078
92,400.924
93,401.257
94,401.680
95,401.759
96,401.467
97,401.445
98,401.095
99,400.918
100,400.726
101,401.115
102,401.401
103,401.340
104,401.327
105,401.295
106,401.435
107,401.523
108,401.765
109,401.450
110,401.569
111,401.211
112,401.485
113,401.553
114,401.664
115,401.534
116,401.313
117,401.250
118,401.221
119,401.521
120,401.481
121,401.647
122,401.340
123,401.519
124,401.583
125,401.758
126,401.228
127,400.899
128,401.522
129,401.525
130,401.365
131,401.449
132,401.463
133,401.620
134,401.171
135,401.156
136,401.318
137,401.118
138,401.151
139,401.285
140,401.333
141,401.308
142,400.940
143,400.877
144,401.006
145,401.299
146,401.394
147,401.471
148,400.926
149,401.031
150,401.222
151,401.027
152,401.055
153,400.923
154,401.273
155,400.947
156,400.805
157,401.147
158,400.844
159,400.874
160,400.755
161,400.751
162,400.754
163,400.757
164,400.862
165,401.057
166,400.944
167,400.958
168,400.850
169,400.775
170,400.738
171,400.710
172,400.782
173,401.030
174,401.157
175,401.042
176,400.781
177,401.034
178,401.417
179,401.189
180,401.072
181,400.843
182,400.753
183,400.722
184,400.972
185,400.746
186,400.800
187,400.813
188,400.830
189,400.849
190,400.847
191,400.689
192,401.015
193,400.695
194,400.794
195,400.704
196,400.806
197,400.784
198,400.990
199,401.100
200,400.829
201,400.967
202,400.872
203,400.863
204,400.893
205,400.868
206,400.732
207,400.712
208,400.883
209,400.916
210,400.686
211,401.061
212,400.931
213,400.764
214,400.888
215,404.978
216,401.855
217,401.328
218,400.854
219,400.818
220,400.945
221,400.967
222,400.888
223,400.690
224,401.068
225,400.813
226,401.427
227,401.642
228,401.375
229,401.243
230,401.084
231,401.109
232,401.494
233,400.999
234,401.381
235,401.171
236,401.320
237,401.444
238,400.901
239,401.425
240,401.212
241,401.168
242,400.669
243,400.671
244,401.108
245,401.404
246,401.127
247,401.388
248,401.210
249,401.246
250,401.119
251,401.386
252,400.849
253,401.065
254,401.175
255,401.530
256,400.906
257,401.043
258,401.301
259,401.368
260,401.099
261,401.302
262,401.420
263,401.212
264,401.157
265,401.160
266,400.921
267,400.944
268,401.061
269,401.493
270,401.395
271,401.422
272,401.246
273,401.324
274,401.039
275,401.419
276,400.807
277,401.314
278,401.215
279,401.270
280,401.189
281,401.144
282,401.456
283,400.867
284,401.124
285,401.061
286,401.452
287,401.332
288,401.404
289,401.011
290,401.066
291,401.037
292,401.043
293,400.987
294,401.417
295,401.126
296,401.014
297,401.116
298,401.141
299,401.545
300,400.998
301,401.306
302,401.284
303,401.541
304,401.399
305,400.744
306,401.146
307,401.298
308,400.831
309,401.161
310,401.064
311,401.004
312,400.985
313,401.450
314,401.316
315,401.082
316,401.304
317,401.641
318,401.039
319,400.860
320,401.104
321,401.333
322,401.270
323,401.094
324,400.939
325,401.096
326,401.128
327,401.244
328,401.317
329,401.316
330,401.232
331,400.828
332,401.041
333,401.379
334,401.085
335,401.582
336,401.149
337,401.286
338,401.318
339,401.388
340,401.108
341,401.111
342,401.308
343,401.094
344,401.307
345,401.178
346,401.168
347,401.030
348,401.028
349,401.438
350,401.154
351,401.030
352,401.015
353,400.995
354,400.874
355,401.302
356,401.103
357,401.066
358,401.229
359,401.361
360,401.025
361,401.255
362,401.287
363,401.173
364,401.284
365,401.243
366,401.218
367,401.000
368,400.982
369,401.158
370,401.393
371,401.474
372,401.131
373,401.164
374,401.113
375,401.367
376,401.124
377,400.971
378,401.030
379,401.010
380,401.270
381,401.151
382,401.272
383,401.039
384,401.051
385,401.250
386,401.213
387,401.213
388,401.036
389,401.323
390,400.974
391,401.030
392,401.187
393,400.763
394,401.191
395,401.213
396,400.939
397,401.243
398,401.123
399,401.115
400,401.043
401,401.059
402,401.584
403,401.258
404,400.955
405,401.130
406,401.108
407,401.182
408,401.028
409,400.853
410,401.049
411,400.935
412,401.117
413,400.742
414,400.655
415,400.872
416,400.905
417,400.695
418,400.972
419,400.766
420,400.946
421,400.597
422,400.926
423,400.724
424,400.781
425,400.673
426,400.656
427,400.796
428,400.777
429,400.884
430,401.073
431,401.403
432,400.973
433,401.149
434,401.031
435,401.339
436,401.021
437,401.475
438,401.293
439,400.969
440,401.152
441,400.947
442,400.920
443,401.040
444,400.939
445,400.546
446,400.682
447,400.952
448,400.800
449,401.022
450,401.137
451,401.332
452,401.108
453,400.915
454,400.667
455,401.071
456,401.196
457,401.277
458,401.131
459,401.237
460,401.762
461,400.999
462,400.884
463,400.994
464,401.031
465,401.060
466,401.041
467,400.732
468,401.123
469,401.128
470,400.920
471,401.093
472,401.165
473,400.850
474,401.109
475,400.785
476,401.399
477,401.308
478,401.321
479,401.125
480,401.011
481,401.368
482,401.239
483,400.909
484,401.015
485,400.940
486,401.140
487,401.092
488,401.210
489,401.025
490,400.724
491,400.634
492,400.975
493,400.643
494,400.674
495,400.735
496,400.686
497,400.728
498,400.568
499,400.730
500,400.601
501,400.623
502,400.672
503,400.616
504,400.561
505,400.647
506,400.870
507,400.696
508,400.621
509,400.550
510,400.722
511,400.691
512,400.644
513,400.912
514,400.647
515,401.167
516,401.235
517,401.061
518,401.352
519,401.516
520,401.235
521,401.444
522,401.009
523,401.259
524,401.255
525,401.290
526,401.038
527,401.081
528,401.055
529,401.216
530,401.107
531,400.786
532,400.840
533,401.001
534,400.764
535,400.853
536,400.879
537,401.244
538,400.771
539,400.552
540,400.649
541,400.678
542,400.640
543,400.583
544,400.664
545,400.766
546,400.690
547,400.706
548,400.712
549,400.623
550,400.995
551,400.527
552,400.667
553,400.589
554,400.612
555,400.627
556,404.588
557,400.699
558,401.077
559,400.742
560,400.536
561,400.854
562,400.567
563,400.654
564,400.717
565,400.846
566,400.627
567,400.692
568,400.609
569,400.532
570,400.733
571,400.674
572,400.529
573,400.841
574,400.578
575,400.652
576,400.607
577,400.922
578,400.753
579,400.635
580,400.586
581,400.806
582,400.530
583,400.659
584,400.589
585,400.634
586,400.594
587,400.838
588,400.911
589,400.836
590,401.049
591,401.168
592,400.754
593,401.210
594,401.233
595,401.396
596,401.031
597,401.042
598,400.645
599,400.852
600,400.764
601,400.910
602,400.603
603,400.724
604,400.583
605,401.020
606,400.676
607,401.378
608,400.928
609,400.756
610,400.774
611,400.823
612,400.669
613,400.565
614,400.598
615,400.757
616,400.538
617,400.685
618,400.780
619,400.725
620,400.725
621,400.580
622,400.568
623,404.769
624,400.566
625,400.634
626,400.877
627,400.569
628,400.831
629,400.672
630,400.703
631,400.690
632,400.624
633,400.715
634,400.665
635,400.595
636,305.811
637,400.732
638,400.657
639,400.535
640,400.649
641,400.625
642,400.892
643,400.814
644,400.627
645,401.164
646,400.674
647,400.633
648,400.680
649,400.739
650,400.638
651,400.759
652,400.724
653,400.815
654,400.571
655,400.696
656,400.982
657,404.642
658,405.922
659,400.652
660,400.610
661,400.677
662,400.936
663,400.895
664,402.270
665,400.573
666,400.769
667,400.760
668,400.684
669,400.912
670,400.700
671,400.724
672,400.639
673,400.646
674,400.733
675,400.765
676,400.778
677,400.629
678,400.601
679,400.673
680,400.656
681,400.802
682,400.566
683,404.640
684,400.603
685,404.699
686,400.582
687,400.704
688,400.674
689,400.577
690,400.526
691,400.590
692,400.737
693,400.615
694,400.602
695,400.798
696,400.597
697,400.823
698,400.616
699,400.703
700,400.618
701,400.559
702,400.666
703,400.761
704,400.789
705,400.926
706,401.040
707,400.952
708,401.167
709,401.091
710,401.266
711,400.803
712,400.905
713,401.093
714,401.031
715,401.252
716,401.001
717,400.993
718,401.111
719,401.043
720,400.693
721,400.754
722,401.197
723,401.199
724,401.313
725,401.136
726,401.107
727,401.425
728,400.908
729,401.124
730,401.175
731,400.871
732,400.972
733,400.873
734,401.045
735,400.740
736,400.803
737,401.149
738,400.812
739,400.787
740,400.640
741,400.750
742,401.339
743,400.676
744,303.709
745,400.925
746,400.850
747,400.863
748,401.049
749,400.830
750,401.026
751,400.741
752,401.066
753,400.774
754,401.239
755,400.986
756,400.962
757,400.909
758,400.982
759,400.736
760,400.998
761,400.591
762,401.049
763,400.941
764,400.993
765,400.814
766,400.989
767,400.755
768,400.786
769,400.758
770,400.903
771,400.692
772,400.712
773,400.755
774,400.571
775,400.643
776,400.824
777,400.825
778,400.779
779,400.763
780,400.829
781,401.064
782,400.645
783,400.964
784,401.186
785,400.831
786,400.770
787,400.522
788,400.607
789,400.644
790,409.658
791,400.741
792,400.686
793,400.545
794,400.729
795,400.585
796,400.584
797,400.763
798,400.723
799,400.558
800,400.802
801,400.716
802,400.581
803,400.521
804,400.688
805,400.798
806,400.803
807,400.711
808,400.762
809,400.797
810,400.709
811,400.727
812,400.856
813,400.794
814,401.161
815,400.899
816,401.023
817,401.306
818,400.817
819,400.892
820,400.730
821,404.626
822,400.612
823,400.561
824,400.822
825,400.599
826,400.787
827,400.970
828,400.898
829,401.089
830,400.689
831,400.669
832,400.735
833,400.730
834,400.779
835,400.623
836,400.699
837,400.848
838,400.666
839,400.847
840,400.576
841,400.749
842,400.573
843,400.587
844,400.809
845,400.643
846,400.794
847,400.894
848,400.899
849,401.104
850,400.772
851,401.045
852,400.928
853,400.641
854,401.014
855,400.826
856,401.148
857,401.256
858,401.075
859,400.607
860,401.097
861,400.680
862,400.756
863,400.755
864,401.153
865,401.318
866,400.979
867,401.302
868,400.852
869,400.859
870,403.017
871,401.030
872,401.010
873,401.239
874,400.983
875,401.117
876,401.232
877,401.026
878,401.083
879,401.317
880,401.119
881,401.003
882,401.072
883,400.831
884,400.787
885,400.843
886,401.010
887,400.763
888,401.174
889,400.708
890,401.032
891,400.832
892,400.832
893,400.861
894,400.697
895,400.781
896,400.986
897,400.924
898,400.694
899,401.167
900,400.742
901,401.016
902,400.873
903,400.615
904,400.961
905,400.628
906,400.809
907,400.928
908,401.111
909,400.816
910,407.727
911,400.704
912,400.811
913,401.173
914,400.994
915,400.806
916,400.869
917,400.777
918,401.057
919,400.970
920,400.809
921,401.022
922,401.026
923,400.560
924,400.836
925,400.838
926,400.964
927,400.962
928,401.104
929,400.990
930,400.762
931,400.992
932,401.146
933,400.813
934,400.879
935,400.666
936,400.950
937,400.928
938,400.681
939,401.047
940,400.693
941,400.936
942,400.585
943,400.600
944,400.783
945,400.674
946,400.536
947,400.692
948,400.945
949,400.582
950,400.597
951,400.700
952,400.627
953,400.631
954,400.825
955,400.538
956,400.729
957,400.548
958,400.687
959,400.647
960,400.531
961,400.769
962,400.956
963,400.564
964,400.633
965,400.595
966,400.674
967,400.736
968,401.007
969,400.951
970,400.891
971,400.798
972,401.242
973,401.085
974,400.889
975,400.889
976,401.042
977,400.894
978,400.670
979,400.656
980,400.706
981,400.720
982,404.624
983,400.599
984,400.565
985,400.659
986,400.765
987,400.649
988,400.531
989,400.484
990,400.637
991,400.696
992,400.624
993,400.693
994,400.649
995,400.630
996,400.697
997,400.797
998,400.728
999,400.791
1000,400.529
