Iteration,Time
1,403.353
2,402.377
3,402.763
4,402.720
5,403.148
6,402.986
7,402.691
8,402.533
9,402.405
10,403.065
11,402.552
12,402.479
13,402.555
14,402.660
15,402.470
16,402.852
17,402.403
18,402.622
19,402.952
20,403.645
21,402.410
22,402.537
23,404.817
24,402.616
25,403.937
26,402.583
27,402.345
28,402.399
29,402.982
30,402.678
31,403.167
32,402.929
33,402.431
34,402.465
35,402.386
36,402.731
37,402.347
38,402.459
39,402.703
40,402.379
41,402.186
42,402.318
43,402.869
44,402.177
45,403.243
46,404.928
47,402.452
48,402.567
49,403.006
50,402.605
51,402.560
52,402.237
53,402.885
54,402.949
55,402.641
56,402.374
57,402.315
58,402.759
59,403.254
60,402.720
61,403.199
62,402.196
63,406.709
64,403.188
65,403.123
66,402.203
67,402.086
68,402.674
69,402.253
70,402.393
71,402.203
72,402.089
73,402.266
74,402.203
75,402.306
76,402.303
77,402.111
78,402.420
79,402.238
80,402.110
81,401.993
82,402.056
83,402.444
84,402.332
85,402.174
86,403.830
87,402.191
88,402.506
89,402.214
90,405.444
91,404.015
92,405.498
93,402.797
94,405.240
95,405.011
96,405.554
97,404.149
98,402.674
99,405.493
100,404.735
101,403.038
102,405.287
103,404.956
104,402.523
105,402.584
106,404.809
107,404.465
108,404.784
109,405.458
110,404.878
111,404.775
112,402.561
113,406.359
114,405.275
115,404.596
116,404.761
117,405.956
118,404.672
119,404.838
120,404.687
121,406.797
122,404.685
123,404.582
124,405.992
125,402.393
126,402.294
127,405.323
128,405.972
129,407.151
130,404.693
131,405.485
132,405.711
133,406.035
134,406.760
135,406.102
136,404.926
137,407.199
138,406.220
139,402.427
140,406.217
141,404.355
142,404.988
143,404.910
144,406.295
145,405.154
146,402.661
147,406.747
148,406.330
149,402.695
150,405.106
151,404.672
152,404.767
153,404.533
154,404.682
155,406.244
156,402.667
157,402.691
158,405.183
159,404.190
160,401.979
161,402.158
162,402.249
163,402.762
164,402.468
165,402.677
166,402.308
167,402.301
168,402.239
169,402.518
170,402.063
171,402.714
172,402.588
173,402.497
174,402.283
175,402.226
176,402.880
177,401.937
178,402.192
179,402.051
180,402.215
181,401.850
182,402.079
183,402.620
184,402.438
185,403.246
186,405.061
187,406.212
188,404.840
189,404.613
190,405.199
191,404.796
192,404.232
193,405.172
194,405.753
195,406.932
196,405.150
197,406.999
198,406.289
199,403.548
200,402.115
201,403.767
202,401.934
203,402.293
204,402.124
205,402.223
206,402.635
207,401.994
208,402.465
209,402.178
210,402.433
211,402.471
212,402.338
213,402.818
214,402.040
215,403.585
216,412.493
217,402.077
218,402.200
219,402.193
220,402.054
221,401.879
222,401.929
223,403.705
224,402.608
225,401.864
226,402.441
227,402.465
228,402.783
229,402.285
230,402.617
231,402.375
232,402.592
233,401.861
234,402.537
235,402.054
236,401.960
237,402.484
238,401.882
239,404.467
240,404.764
241,402.253
242,402.275
243,404.816
244,404.711
245,405.250
246,405.136
247,405.901
248,404.643
249,403.089
250,402.539
251,405.525
252,405.540
253,404.150
254,402.991
255,402.504
256,402.127
257,403.018
258,404.567
259,406.290
260,402.721
261,404.032
262,402.396
263,406.238
264,403.909
265,404.751
266,405.345
267,404.965
268,404.469
269,405.102
270,405.127
271,406.108
272,406.035
273,402.920
274,411.861
275,405.051
276,401.992
277,403.372
278,402.319
279,404.520
280,404.854
281,405.916
282,403.760
283,404.459
284,404.900
285,407.322
286,405.042
287,401.914
288,405.107
289,402.934
290,401.920
291,401.900
292,402.390
293,401.998
294,402.833
295,401.841
296,401.823
297,402.060
298,401.960
299,402.462
300,402.288
301,401.958
302,402.680
303,402.135
304,402.149
305,402.341
306,402.688
307,401.892
308,401.848
309,402.010
310,402.114
311,404.100
312,404.271
313,402.763
314,404.095
315,404.938
316,405.577
317,404.931
318,402.278
319,404.488
320,404.216
321,405.101
322,402.482
323,402.938
324,402.956
325,404.317
326,402.650
327,401.794
328,403.717
329,405.717
330,406.610
331,404.599
332,402.533
333,404.603
334,405.572
335,404.622
336,404.834
337,404.707
338,402.095
339,402.309
340,401.969
341,402.097
342,402.203
343,402.362
344,402.011
345,401.948
346,402.670
347,401.954
348,402.708
349,402.421
350,402.021
351,401.798
352,401.782
353,402.243
354,402.174
355,402.084
356,402.338
357,402.022
358,404.042
359,406.157
360,403.031
361,401.790
362,405.990
363,402.436
364,402.051
365,402.225
366,401.933
367,402.087
368,402.173
369,401.832
370,401.893
371,402.379
372,401.976
373,401.767
374,402.438
375,402.293
376,402.274
377,401.654
378,402.071
379,402.408
380,402.246
381,402.188
382,401.797
383,401.701
384,403.603
385,405.224
386,404.960
387,404.372
388,404.688
389,403.867
390,404.945
391,404.028
392,404.837
393,403.871
394,403.671
395,402.543
396,404.235
397,405.457
398,405.163
399,402.709
400,401.984
401,403.598
402,402.318
403,401.836
404,402.031
405,402.343
406,402.619
407,402.716
408,402.039
409,402.713
410,402.458
411,402.386
412,402.092
413,402.232
414,402.299
415,402.215
416,402.107
417,403.686
418,401.965
419,401.897
420,401.833
421,402.014
422,402.896
423,402.082
424,401.985
425,402.400
426,402.067
427,402.204
428,402.232
429,403.650
430,404.329
431,405.031
432,404.486
433,404.142
434,404.643
435,401.931
436,402.576
437,402.045
438,401.695
439,401.929
440,402.039
441,401.990
442,401.962
443,402.585
444,402.212
445,402.078
446,402.449
447,402.245
448,401.820
449,402.354
450,401.967
451,402.070
452,402.015
453,402.426
454,402.272
455,402.179
456,402.301
457,402.020
458,401.838
459,402.647
460,402.406
461,401.932
462,402.301
463,401.898
464,401.889
465,403.791
