Iteration,Time
1,401.446
2,400.870
3,401.612
4,401.308
5,401.453
6,401.520
7,401.579
8,400.808
9,401.144
10,401.622
11,401.041
12,401.394
13,401.538
14,401.081
15,401.807
16,401.296
17,401.074
18,400.853
19,400.975
20,400.878
21,400.907
22,400.998
23,401.034
24,400.828
25,400.940
26,400.843
27,401.160
28,401.598
29,400.938
30,401.019
31,400.867
32,400.958
33,400.982
34,400.961
35,400.901
36,400.745
37,400.800
38,400.924
39,400.862
40,400.834
41,400.883
42,400.943
43,401.093
44,400.771
45,401.024
46,401.117
47,400.772
48,401.067
49,401.061
50,400.946
51,401.381
52,401.072
53,401.237
54,400.763
55,401.178
56,401.139
57,401.046
58,401.251
59,401.181
60,401.101
61,401.200
62,400.618
63,401.097
64,400.775
65,401.186
66,400.960
67,400.900
68,400.999
69,400.684
70,400.931
71,400.988
72,400.722
73,401.217
74,400.953
75,401.248
76,401.257
77,400.826
78,401.048
79,400.716
80,400.900
81,400.997
82,401.404
83,401.084
84,401.331
85,401.090
86,401.069
87,401.232
88,401.398
89,401.143
90,401.429
91,401.332
92,400.899
93,401.343
94,401.300
95,401.246
96,401.305
97,401.091
98,401.317
99,401.191
100,401.263
101,400.940
102,400.885
103,400.637
104,401.212
105,400.890
106,401.131
107,401.213
108,401.056
109,401.224
110,401.194
111,401.048
112,401.216
113,401.045
114,400.820
115,401.071
116,401.002
117,401.016
118,401.163
119,401.153
120,400.817
121,400.879
122,400.930
123,400.887
124,400.898
125,401.037
126,401.260
127,400.970
128,400.864
129,400.858
130,400.847
131,401.141
132,401.191
133,400.916
134,401.073
135,401.264
136,401.103
137,400.998
138,401.079
139,400.677
140,401.055
141,401.065
142,400.886
143,401.235
144,400.764
145,400.828
146,400.793
147,401.121
148,401.298
149,401.530
150,401.161
151,401.152
152,401.058
153,401.069
154,401.100
155,400.917
156,401.162
157,401.092
158,400.972
159,401.200
160,400.812
161,401.547
162,401.383
163,401.354
164,401.537
165,401.489
166,401.306
167,401.236
168,400.945
169,401.168
170,400.863
171,400.952
172,401.191
173,400.985
174,400.876
175,400.992
176,401.092
177,401.049
178,400.763
179,401.216
180,400.963
181,401.080
182,401.060
183,401.174
184,400.818
185,401.130
186,400.631
187,400.975
188,401.124
189,401.052
190,401.075
191,401.254
192,401.043
193,401.110
194,401.272
195,401.056
196,400.994
197,401.072
198,400.771
199,401.084
200,401.221
201,401.366
202,400.772
203,401.229
204,400.959
205,401.081
206,401.109
207,400.978
208,401.128
209,401.211
210,400.942
211,401.180
212,400.765
213,401.207
214,401.236
215,400.807
216,401.224
217,401.093
218,401.088
219,401.204
220,401.151
221,401.176
222,400.804
223,400.859
224,401.185
225,401.092
226,400.900
227,401.189
228,401.110
229,401.199
230,401.020
231,400.915
232,401.001
233,400.693
234,401.176
235,401.032
236,401.142
237,401.087
238,400.996
239,400.988
240,401.169
241,400.861
242,400.859
243,400.793
244,400.895
245,400.773
246,401.260
247,401.203
248,401.197
249,401.226
250,400.866
251,400.905
252,400.751
253,401.038
254,400.879
255,400.977
256,400.926
257,400.875
258,401.154
259,401.012
260,400.688
261,400.821
262,400.863
263,400.874
264,400.754
265,400.724
266,401.305
267,401.584
268,400.731
269,400.828
270,400.945
271,401.046
272,400.959
273,401.094
274,400.808
275,400.821
276,401.157
277,400.977
278,401.206
279,401.192
280,401.057
281,401.226
282,400.894
283,400.667
284,401.129
285,400.959
286,400.984
287,401.179
288,401.091
289,401.120
290,400.801
291,401.016
292,400.724
293,400.762
294,400.621
295,400.691
296,400.896
297,400.975
298,400.669
299,401.000
300,400.686
301,400.774
302,400.872
303,400.807
304,400.858
305,401.025
306,400.848
307,400.923
308,400.942
309,400.995
310,401.217
311,401.046
312,401.254
313,401.431
314,405.944
315,401.161
316,401.331
317,401.114
318,401.242
319,400.865
320,400.821
321,401.187
322,400.904
323,401.193
324,401.122
325,401.205
326,401.183
327,400.924
328,401.018
329,400.865
330,401.139
331,401.045
332,401.128
333,400.942
334,400.748
335,401.121
336,400.977
337,400.989
338,401.188
339,401.132
340,400.950
341,401.061
342,400.885
343,400.817
344,401.155
345,401.216
346,401.114
347,400.989
348,401.278
349,400.842
350,400.787
351,401.092
352,400.966
353,401.008
354,401.048
355,401.189
356,401.048
357,401.120
358,400.923
359,400.846
360,401.170
361,401.142
362,400.777
363,401.143
364,400.979
365,401.081
366,401.168
367,401.139
368,401.408
369,401.310
370,400.729
371,401.139
372,401.035
373,401.239
374,401.142
375,401.319
376,401.142
377,401.240
378,401.159
379,400.961
380,401.286
381,401.373
382,401.272
383,401.156
384,401.388
385,401.133
386,400.726
387,401.146
388,401.236
389,401.211
390,401.029
391,401.228
392,400.925
393,400.994
394,401.247
395,401.394
396,401.248
397,401.349
398,401.243
399,401.221
400,401.194
401,401.268
402,401.077
403,401.298
404,401.454
405,401.500
406,401.437
407,401.228
408,401.268
409,401.202
410,400.953
411,400.872
412,400.709
413,401.009
414,400.924
415,401.020
416,401.095
417,401.007
418,401.256
419,401.157
420,401.112
421,401.122
422,401.059
423,401.097
424,400.681
425,400.792
426,401.187
427,401.027
428,401.162
429,400.859
