OtherResources,Time
0,12.655
5,30.507
10,26.184
15,43.503
20,48.240
25,61.339
30,80.425
35,83.626
40,104.234
45,107.042
50,124.609
55,109.263
60,139.185
65,107.945
70,131.644
75,136.533
80,129.776
85,154.551
90,173.673
95,159.581
100,191.037
105,194.461
110,202.234
115,212.787
120,225.877
125,233.498
130,249.985
135,281.566
140,296.972
145,293.214
150,298.155
155,307.424
160,376.220
165,346.284
170,384.653
175,418.947
180,379.948
185,392.352
190,411.080
195,420.351
200,443.270
205,460.243
210,484.936
215,507.879
220,539.342
225,575.762
230,548.227
235,633.487
240,573.972
245,571.567
250,614.099
255,621.564
260,656.087
265,647.329
270,705.571
275,706.673
280,711.413
285,786.166
290,781.286
295,780.282
300,813.230
305,859.132
310,857.213
315,879.672
320,884.432
325,936.437
330,934.225
335,1013.622
340,990.551
345,1011.528
350,1037.589
355,1033.208
360,1100.951
365,1098.193
370,1128.527
375,1172.378
380,1182.535
385,1248.239
390,1270.623
395,1323.858
400,1368.323
405,1358.859
410,1371.607
415,1425.902
420,1447.190
425,1473.303
430,1495.012
435,1543.462
440,1595.691
445,1640.995
450,1647.191
455,1669.285
460,1712.175
465,1723.649
470,1779.262
475,1802.454
480,1847.359
485,1870.544
490,1906.361
495,1895.321
500,1985.954
