OtherRoles,Time
0,8.404
5,12.122
10,12.471
15,19.290
20,19.716
25,23.013
30,31.367
35,25.166
40,32.222
45,47.385
50,46.818
55,36.910
60,53.247
65,45.750
70,49.759
75,65.028
80,73.514
85,74.752
90,75.910
95,72.783
100,77.881
105,74.472
110,83.592
115,74.234
120,83.579
125,83.325
130,89.556
135,90.204
140,97.676
145,97.240
150,110.917
155,98.497
160,112.676
165,120.259
170,118.408
175,129.192
180,125.446
185,118.265
190,128.851
195,129.564
200,178.643
205,143.139
210,160.758
215,160.838
220,164.880
225,179.840
230,163.369
235,178.475
240,169.055
245,181.539
250,184.833
255,188.606
260,207.364
265,198.681
270,212.568
275,204.245
280,204.951
285,218.491
290,246.083
295,234.198
300,234.212
305,242.919
310,241.017
315,247.264
320,265.647
325,263.019
330,262.205
335,262.498
340,278.789
345,307.337
350,302.432
355,317.773
360,298.773
365,317.789
370,324.660
375,317.820
380,328.860
385,349.850
390,351.655
395,350.279
400,362.778
405,366.743
410,370.650
415,391.904
420,406.090
425,396.798
430,421.690
435,416.178
440,423.992
445,419.360
450,424.661
455,441.753
460,492.761
465,475.332
470,462.122
475,462.935
480,468.733
485,468.372
490,483.679
495,490.511
500,513.283
